0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.1768537,0.5594866,-0.32620335,-0.29166728,0.13767146,-0.11276981,-0.015462682,0.40895927,-0.30367142,0.31564015,-0.7867058,-0.021433137,-0.07584429,-0.6653291,-0.16991729,-0.4116022
-1.0550832,-0.5396698,-0.8909526,0.9162779,0.14185798,0.006163478,1.1427624,0.0083128065,-0.42925805,-0.27417776,-0.94829506,-0.3608427,-0.07128984,-0.23484847,0.047734726,0.7526114
-0.4576876,-0.51512957,0.362918,0.39604923,1.1025331,-0.38401365,-0.21264586,0.18352453,-0.2676363,0.7528111,1.112392,1.1328976,0.6378646,0.4831906,-0.544792,0.40006757
0.2870077,-0.87476134,-0.100522205,-0.11280751,-0.5424496,-0.09141089,0.09902752,1.4270717,-0.22116566,-0.8000921,-0.28398547,-0.14785081,-0.23808336,0.5112895,-0.260188,-0.51635635
-0.4585496,-0.6316263,-0.040093403,-0.25490212,-0.49883083,0.023987979,-0.08438099,1.7498752,-0.08352013,-0.98046553,0.46000922,0.05610822,-0.18391041,0.088981666,-0.39313418,0.12347789
0.27161235,-0.8101033,-0.072363704,-0.22469084,-0.11664614,-0.40671217,0.12052668,1.607001,-0.2409661,-0.83317775,0.08866103,-0.3815074,0.0005174186,-0.08482781,0.026736237,0.0017823726
-0.13628596,-0.28123227,-0.48872247,0.6136353,-0.34585768,-0.093570985,-0.16641048,1.1411693,-0.7548549,-0.769032,0.22843936,-0.25546125,0.31151643,0.24151003,-0.3022365,-0.6235302
0.05404985,-0.7487263,-0.13657519,0.11314925,-0.24304,-0.039368168,-0.07320276,1.7211077,-0.30873534,-1.0364501,0.032036602,-0.3202861,0.069545396,0.31188616,-0.36737642,-0.18035151
0.06510922,1.0458188,-0.80722475,0.28756288,0.06845611,-0.1030774,0.39163354,-0.32158232,-1.4111434,-0.34598792,0.23167193,0.61710817,-0.59295285,0.44194221,0.13886404,0.34938934
0.18887892,0.9826516,0.039669737,-0.05479771,0.04833435,0.22862571,0.30996412,0.27304837,-1.2744919,-0.22546282,0.16750786,0.68367213,-0.72121865,0.80178964,-0.027009219,1.0692865
-0.08672181,1.1149224,-1.223828,0.4925011,0.3833704,-0.45226136,-0.2088105,-0.5009443,-1.209088,-0.2805715,1.2262843,0.5535556,-0.16462311,-0.2059835,-0.34935445,-0.6840919
-0.1286824,0.5930324,-1.0288348,0.76282954,-0.094599724,0.1076432,-0.03978136,-0.58025527,-0.7833652,-0.19299571,0.5369365,0.41768813,0.113894194,-0.15414116,-0.5645455,-0.42064598
0.7685721,-0.07205144,-0.14564669,0.74402595,-0.587804,0.170909,-0.1002236,1.2084578,-0.6821617,-0.7827714,0.08857669,-0.1526237,-0.14737932,0.09565992,-0.030768968,-0.34440315
-0.19616611,-0.049903557,0.22062583,-0.18922508,0.47657466,2.0494814,-0.17765954,0.69196707,0.26000926,-0.041880786,-0.08324617,0.011716291,0.22311762,-0.08711657,-0.527979,0.2652593
0.17750862,0.11609727,-0.6195436,0.48679003,-0.39280036,0.20296377,-0.26269278,0.32927012,-1.4288162,-0.5079255,0.35718167,-0.17638603,0.01077481,0.05223308,-0.4249676,-1.0561327
0.04699736,0.862887,-1.0274594,1.0425477,0.5669035,-0.13181604,0.095316425,-0.42531753,-0.62183344,-0.09348582,0.4097762,0.84866816,0.100990236,-0.08781642,-0.44472367,-0.12984586
0.4514916,0.69646215,-1.2514341,0.71852493,0.1969687,0.1333515,-0.03552303,-0.4206931,-0.58688545,-0.022358477,-0.02643323,0.8098867,0.047025234,-0.04638587,-0.41740012,-0.6742657
-0.62663525,-0.91489244,-0.34325874,0.74007833,-0.73236275,-0.3307716,-0.6766087,0.31807637,0.9119715,-0.07789712,0.3253168,-0.06492096,0.5730094,0.15884157,-0.72287285,-0.64938056
-0.36620545,-0.5282609,-0.11079049,-0.039817855,-0.27861813,-0.19723944,-0.32387418,-0.26435122,0.65755814,0.5343285,-0.07476114,-0.35748357,-2.0896156,0.1180839,-0.28766066,-0.47417516
0.18982424,0.06059194,0.38810953,-0.18126008,0.20501252,-0.616328,-0.26806262,-0.332664,0.58321315,0.34450695,-0.17876475,-0.05612357,-1.9743289,-0.08490415,-0.0949736,0.27664417
-0.17272139,-0.88137984,-0.17127362,0.5954888,0.23066472,-0.07052682,-0.60576344,-0.24299571,1.3556893,0.4227497,-0.09440143,-0.030885726,-1.2680994,-0.4898466,-0.47167975,-0.43552232
-0.7412987,-0.6660644,0.25275132,0.92809975,0.19177163,-0.41967788,-0.6583749,-0.47063786,1.4919007,0.5864092,0.26313674,-0.58809423,-0.697025,-0.259378,-0.8387301,-0.5072392
-0.1211027,-0.024205226,0.07525664,-0.27275956,0.025073301,0.2946726,-0.1835232,-0.12626252,0.45733646,0.13574865,-0.1450816,-0.37352145,-1.9616436,-0.014931474,-0.19305731,-0.50244397
0.024117433,-0.05040493,0.15373324,0.06825039,0.0891697,-0.003176786,-0.2625463,-0.120233044,0.8782562,0.2869492,0.19070882,-0.06750974,-1.9259022,-0.31441444,-0.07025963,-0.2487152
-0.09878749,0.122127846,-0.036375634,0.26476932,0.5294681,1.7840596,-0.8183847,0.45999974,0.99297464,0.25639477,-0.48659495,-0.07739455,0.08793092,-0.19850639,-0.54157066,0.10156413
-1.0449783,0.82071286,-0.33032712,0.046714038,0.18927863,0.12867835,0.33116996,0.7249914,0.43060017,0.31490108,-1.1830323,-0.500624,0.17715774,-0.81755173,0.28265634,0.3214183
-1.150109,0.99156284,-0.07876475,-0.21408604,0.06705913,-0.81933415,-0.118761554,0.61658615,-0.14845958,0.46944195,-0.32675466,-0.2545288,0.31444013,-0.7792568,-0.27643377,0.06645437
-0.47132382,0.6547041,-0.98115075,0.36499143,0.36251453,-0.18760872,0.09095259,-0.43231758,-0.5742512,0.09569583,1.0126319,0.51989675,-0.16111468,0.31087673,-0.8284056,-0.44978663
-0.17906743,-0.56874603,-0.40604138,-0.24457714,-1.7699867,0.6558792,-0.10042685,-0.41478556,0.32514942,0.25237542,0.83367676,-0.08011043,0.19900928,-0.0037579685,-0.27265906,0.6156772
-1.0990634,0.042146742,-0.16974783,0.022269359,0.49961698,-0.25347194,1.3814143,0.22735295,-0.57764965,0.35698146,-0.6298848,0.12300771,1.0929793,-0.18266805,0.4196452,0.032660306
-0.9967669,-0.3457108,-0.3060645,-0.0055475086,-0.16005145,0.43792415,1.3005397,0.20468281,-0.1786034,-0.14492083,-0.9497409,0.22591671,-0.04676898,-0.22857487,-0.12611343,0.41540408
0.6582656,-0.33258057,-0.23969832,1.0553247,-0.6505085,-0.4715575,-0.42442176,1.2406632,0.49692762,-0.5955963,-0.21109541,-0.16982864,0.25874817,0.28956577,-0.26453704,-0.47304523
-0.70366526,1.7659354,0.24678949,-0.48438567,-0.39920256,-0.029031128,-0.2633629,0.6502814,0.5062339,0.28515354,-0.1457149,0.05942577,0.4462356,-0.69319236,-0.3508448,0.25736594
-0.33773756,-0.3771337,-0.12840784,0.77906966,1.0136652,-0.55487984,-0.23499349,-0.048229575,-0.3555643,0.65131253,1.2740518,0.92206484,0.32768053,0.37746763,-0.5909343,1.0331693
-0.35174525,0.5809353,-0.749878,0.83368623,0.4552408,-0.21915102,0.14332071,-0.036275372,-0.23068821,0.0060747266,1.1263138,0.6248954,-0.010606546,0.500183,-0.22069632,-0.2837315
-0.300606,-0.58243144,0.39540794,-0.016278625,0.8540816,-0.7463971,-0.53758144,0.0046743006,0.15989688,0.8052436,0.75386053,0.8866326,-0.078526765,0.34517977,-0.3180046,0.43871254
